0.792595,0.907899,0.943702,0.960136,0.521460,0.977308,0.757310,0.161671,0.476900,0.718331
0.247340,0.640615,0.666600,0.162700,0.565085,0.771627,0.498896,0.012103,0.009038,0.357029
0.926194,0.228677,0.634364,0.222076,0.321670,0.848042,0.728861,0.095399,0.428702,0.029170
0.480890,0.662434,0.118503,0.288885,0.397837,0.919531,0.993255,0.044911,0.761008,0.371724
0.392458,0.754265,0.918426,0.950929,0.577123,0.357121,0.787549,0.251001,0.564074,0.358578
0.656631,0.240399,0.191593,0.918239,0.101804,0.505958,0.220853,0.038930,0.036019,0.175222
0.866770,0.282479,0.950459,0.581622,0.436614,0.580089,0.516698,0.758776,0.282496,0.353050
0.894094,0.946457,0.892558,0.419448,0.780366,0.476336,0.497540,0.204680,0.591130,0.186136
0.331565,0.855030,0.207076,0.071158,0.069008,0.940785,0.506920,0.409412,0.810879,0.835826
0.332191,0.693618,0.771123,0.654651,0.151595,0.875883,0.539095,0.282472,0.425228,0.037571
0.127867,0.765547,0.000012,0.416566,0.522510,0.054634,0.973078,0.226125,0.304199,0.303943
0.230417,0.001474,0.729345,0.966845,0.224293,0.663047,0.741896,0.848425,0.422629,0.302931
0.325295,0.712621,0.816779,0.181614,0.370941,0.901940,0.806694,0.984858,0.754248,0.393195
0.590638,0.661014,0.078456,0.544497,0.709321,0.167321,0.780632,0.583773,0.952222,0.042422
0.265326,0.601554,0.296560,0.714424,0.759005,0.102516,0.513854,0.508891,0.369281,0.932925
0.827506,0.697209,0.714327,0.461716,0.920995,0.694595,0.728981,0.861691,0.274072,0.807071
0.195241,0.345342,0.335610,0.978525,0.856537,0.701170,0.727057,0.562073,0.947091,0.496259
0.380518,0.163035,0.786206,0.734444,0.384355,0.025193,0.838997,0.011418,0.703700,0.970257
0.437661,0.234973,0.704871,0.817128,0.546430,0.967035,0.051669,0.504796,0.718454,0.862640
0.179256,0.800003,0.552707,0.396554,0.131715,0.865296,0.157273,0.309788,0.290046,0.871414
0.672703,0.796681,0.250468,0.624874,0.571746,0.832830,0.906087,0.012157,0.674020,0.051836
0.548859,0.287633,0.306777,0.352959,0.621292,0.334050,0.732699,0.404527,0.068353,0.783760
0.285758,0.432767,0.685444,0.332456,0.056586,0.373921,0.944449,0.641734,0.671479,0.632282
0.198992,0.418334,0.750940,0.101373,0.277853,0.276319,0.432019,0.980369,0.067503,0.518701
0.179365,0.970677,0.113304,0.403601,0.737885,0.704554,0.422729,0.346524,0.397612,0.264276
0.205333,0.483040,0.268534,0.287462,0.656756,0.968537,0.603637,0.076979,0.075584,0.951423
0.297291,0.092067,0.599045,0.623649,0.648505,0.267402,0.015111,0.965015,0.250893,0.676026
0.706630,0.610007,0.312907,0.271096,0.597668,0.866096,0.946734,0.105906,0.154829,0.944736
0.736535,0.882994,0.202633,0.587586,0.701140,0.680112,0.408152,0.015395,0.582926,0.253102
0.450254,0.957581,0.399035,0.839802,0.188541,0.672460,0.977007,0.101893,0.008320,0.433583
0.092625,0.748384,0.914549,0.434021,0.258712,0.434403,0.723448,0.009054,0.589454,0.613292
0.637688,0.242022,0.714053,0.091391,0.199270,0.877470,0.738723,0.013746,0.248376,0.214406
0.270806,0.247560,0.062526,0.458941,0.732733,0.606732,0.672872,0.081149,0.951491,0.838492
0.805090,0.822984,0.932711,0.544254,0.200282,0.616784,0.742881,0.737917,0.521449,0.068459
0.371113,0.920767,0.584449,0.538332,0.268854,0.368449,0.895346,0.666463,0.787387,0.454345
0.630247,0.248384,0.705461,0.427601,0.442546,0.649322,0.936281,0.064006,0.824743,0.292383
0.443919,0.021913,0.301046,0.502631,0.056176,0.491096,0.927111,0.105393,0.764441,0.409671
0.655174,0.260237,0.159492,0.160463,0.070492,0.185647,0.664219,0.881691,0.814126,0.685134
0.110432,0.289187,0.309807,0.249957,0.515006,0.535554,0.356886,0.353789,0.828556,0.789293
0.307796,0.913788,0.952815,0.326743,0.354425,0.505634,0.941121,0.876319,0.102568,0.392731
0.553371,0.503132,0.193863,0.858817,0.676941,0.837908,0.858764,0.748356,0.439211,0.610547
0.160365,0.673645,0.179253,0.693950,0.229598,0.117551,0.165284,0.001992,0.718740,0.732401
0.514933,0.161363,0.083554,0.019129,0.165748,0.890856,0.241537,0.354271,0.105345,0.222361
0.519225,0.607753,0.245352,0.057732,0.391033,0.234203,0.219554,0.959863,0.616300,0.556878
0.415775,0.428944,0.540905,0.696430,0.702146,0.171694,0.500113,0.411958,0.870527,0.631419
0.532504,0.115395,0.605638,0.117204,0.337207,0.142842,0.692074,0.206252,0.391859,0.895675
0.204316,0.507805,0.419272,0.018124,0.792758,0.069046,0.474255,0.560678,0.628426,0.688632
0.253272,0.009979,0.723444,0.535657,0.836118,0.821388,0.843326,0.485095,0.333628,0.791558
0.451294,0.183442,0.854974,0.882560,0.466310,0.075700,0.387826,0.803538,0.901774,0.203473
0.066974,0.877350,0.389405,0.541761,0.968066,0.066565,0.648318,0.074105,0.375469,0.803815
0.433472,0.997182,0.559059,0.321162,0.220111,0.350521,0.372533,0.068714,0.369574,0.464239
0.722738,0.656729,0.708766,0.008364,0.217667,0.661684,0.483989,0.005313,0.804495,0.772810
0.548419,0.066463,0.766515,0.583714,0.781960,0.751747,0.803002,0.518008,0.140325,0.671157
0.620474,0.742253,0.169881,0.194975,0.890410,0.749978,0.908228,0.758715,0.597155,0.654133
0.889128,0.578807,0.632391,0.156477,0.473921,0.716397,0.270943,0.202254,0.313827,0.241501
0.214913,0.424851,0.907839,0.507060,0.187920,0.076972,0.696156,0.382799,0.821831,0.659511
0.796241,0.271946,0.692359,0.264062,0.939068,0.636374,0.324512,0.269512,0.190927,0.694641
0.218716,0.595303,0.264635,0.661969,0.814940,0.778025,0.760851,0.187722,0.088385,0.698949
0.368347,0.432346,0.031149,0.259576,0.033676,0.879186,0.243397,0.557337,0.038979,0.666847
0.323027,0.897919,0.888118,0.325291,0.900961,0.996158,0.825416,0.844871,0.249009,0.576702
0.067256,0.094918,0.998893,0.326639,0.748184,0.806665,0.858023,0.997628,0.241496,0.040351
0.411192,0.130081,0.022426,0.360427,0.783738,0.566181,0.312778,0.654342,0.232018,0.014381
0.764353,0.623743,0.762303,0.038938,0.837120,0.619526,0.563395,0.624614,0.864433,0.586937
0.580950,0.990679,0.756730,0.442294,0.707397,0.389230,0.228875,0.596852,0.928182,0.929140
0.341905,0.527677,0.211636,0.995631,0.981118,0.649509,0.804414,0.715100,0.593158,0.053348
0.454764,0.674786,0.677532,0.373123,0.941692,0.167357,0.500359,0.690884,0.697136,0.648639
0.275288,0.156207,0.635940,0.599302,0.179356,0.705139,0.455172,0.667761,0.837367,0.169728
0.019145,0.779103,0.609697,0.699640,0.838155,0.802811,0.960920,0.535935,0.488496,0.401887
0.153691,0.572607,0.277013,0.921308,0.583191,0.592840,0.354925,0.051989,0.031744,0.423335
0.084565,0.606847,0.880973,0.882915,0.659045,0.211232,0.862997,0.886093,0.196654,0.737426
0.286520,0.802640,0.997238,0.030026,0.897366,0.622631,0.973383,0.465010,0.847388,0.062394
0.335279,0.067017,0.975343,0.816974,0.852547,0.937965,0.085103,0.385598,0.071035,0.210793
0.229366,0.469107,0.268562,0.100978,0.167491,0.147276,0.973077,0.759293,0.967761,0.439740
0.278368,0.798293,0.326254,0.299383,0.232506,0.129679,0.256463,0.355320,0.673994,0.062565
0.210507,0.809024,0.146922,0.342645,0.864659,0.154925,0.082737,0.484538,0.302420,0.563408
0.803805,0.137148,0.580699,0.505509,0.144079,0.623998,0.273640,0.487834,0.082272,0.459584
0.306463,0.822381,0.056979,0.418607,0.458431,0.725006,0.574288,0.667212,0.777049,0.862203
0.313875,0.538023,0.840108,0.989451,0.889519,0.371467,0.195167,0.489393,0.741641,0.492569
0.483181,0.838230,0.361404,0.859795,0.406805,0.328233,0.453990,0.762447,0.126002,0.196419
0.951445,0.175492,0.567727,0.579314,0.489624,0.644745,0.229827,0.552662,0.372173,0.661667
0.141224,0.570877,0.185270,0.278643,0.218710,0.182838,0.825711,0.285708,0.927124,0.969927
0.571260,0.143001,0.374548,0.797732,0.367391,0.087017,0.556785,0.845121,0.795926,0.175123
0.672765,0.220504,0.218208,0.874072,0.249669,0.263247,0.000653,0.870669,0.792595,0.627329
0.750266,0.152049,0.458324,0.351219,0.093777,0.486130,0.920740,0.040059,0.291461,0.207541
0.238147,0.908435,0.468069,0.466299,0.760576,0.154492,0.487265,0.429985,0.596911,0.999558
0.769449,0.397866,0.827553,0.170708,0.030464,0.204448,0.340412,0.510581,0.615129,0.910606
0.509854,0.501276,0.050243,0.034912,0.551160,0.438179,0.839180,0.160680,0.024972,0.449039
0.237479,0.049614,0.724598,0.111593,0.608320,0.281050,0.173496,0.379752,0.801446,0.392094
0.750770,0.125486,0.772771,0.236933,0.677393,0.565782,0.929145,0.387323,0.066165,0.019155
0.826859,0.524736,0.775244,0.234426,0.345084,0.030104,0.961492,0.667868,0.933205,0.265496
0.611464,0.678500,0.317550,0.848109,0.947161,0.884855,0.739067,0.277465,0.281616,0.963360
0.010284,0.716050,0.706246,0.622690,0.990109,0.311879,0.339972,0.078939,0.442798,0.261049
0.343387,0.834572,0.935485,0.185733,0.372509,0.928631,0.061808,0.092361,0.162791,0.595213
0.150472,0.968076,0.446715,0.501518,0.246659,0.470960,0.661914,0.751177,0.753868,0.577891
0.904360,0.817408,0.757048,0.055606,0.006878,0.212447,0.663524,0.411197,0.402406,0.884587
0.895563,0.909175,0.313878,0.691056,0.271633,0.190610,0.184632,0.342108,0.429958,0.830949
0.119891,0.734926,0.531455,0.287945,0.492820,0.299942,0.596082,0.433844,0.164406,0.116583
0.546696,0.902413,0.343958,0.733000,0.658661,0.931555,0.820981,0.566605,0.657030,0.898386
0.399519,0.326795,0.010811,0.826551,0.800981,0.104455,0.576857,0.463982,0.118709,0.980568
0.214696,0.067234,0.594847,0.738867,0.032443,0.658718,0.532292,0.103265,0.172524,0.567974
0.296358,0.938316,0.818740,0.983567,0.259671,0.969724,0.431234,0.347519,0.050350,0.052765
0.692011,0.457929,0.226522,0.613970,0.252858,0.577632,0.359209,0.823552,0.820696,0.477350
0.350819,0.362560,0.805715,0.328179,0.209059,0.084688,0.466693,0.482132,0.840909,0.221239
0.380991,0.808406,0.823624,0.384611,0.459124,0.303286,0.932555,0.118644,0.933749,0.683866
0.531572,0.032659,0.475596,0.407748,0.161219,0.656410,0.971151,0.562189,0.714753,0.068450
0.417667,0.116358,0.612796,0.938482,0.661778,0.076803,0.354666,0.550663,0.403208,0.833644
0.814671,0.611831,0.373458,0.255336,0.105874,0.354898,0.413173,0.675823,0.658160,0.070108
0.395259,0.181779,0.156813,0.827302,0.041915,0.419183,0.168204,0.879330,0.557041,0.231381
0.502427,0.731486,0.958118,0.220446,0.886182,0.934304,0.916421,0.635414,0.629821,0.403211
0.752398,0.531294,0.677438,0.428458,0.731496,0.824472,0.146436,0.832930,0.540297,0.844666
0.431302,0.379040,0.915061,0.251169,0.844212,0.484021,0.514095,0.308468,0.573042,0.325211
0.039269,0.271999,0.006379,0.978355,0.965747,0.395155,0.728371,0.345806,0.671093,0.805430
0.946756,0.400212,0.783298,0.265928,0.990332,0.025770,0.603529,0.659506,0.688046,0.120388
0.938530,0.181183,0.622753,0.222676,0.307216,0.546459,0.417193,0.160226,0.170936,0.418145
0.757283,0.897965,0.084128,0.393104,0.100246,0.016592,0.661719,0.602449,0.163019,0.233813
0.023708,0.834947,0.974691,0.135460,0.231475,0.868410,0.926464,0.419627,0.050622,0.039392
0.573950,0.392895,0.028652,0.583252,0.011303,0.787372,0.306433,0.040258,0.588352,0.397684
0.973800,0.544199,0.275239,0.709439,0.271492,0.904243,0.374722,0.549869,0.050573,0.426121
0.832364,0.805649,0.224319,0.226079,0.817305,0.930398,0.095361,0.450059,0.337454,0.870688
0.083525,0.211126,0.752468,0.051294,0.492535,0.442107,0.334401,0.394572,0.529941,0.161367
0.571996,0.805432,0.760161,0.153900,0.149249,0.268174,0.361075,0.408456,0.679697,0.056680
0.034673,0.391911,0.697164,0.193435,0.641504,0.259828,0.886086,0.895690,0.297287,0.229994
0.411304,0.240532,0.672384,0.826065,0.673092,0.824350,0.396992,0.156317,0.737951,0.360475
0.671271,0.270644,0.081230,0.992582,0.156202,0.988421,0.977280,0.793818,0.659423,0.577807
0.866102,0.289440,0.467681,0.619390,0.411190,0.427486,0.330285,0.564232,0.850575,0.201528
0.934433,0.689088,0.823273,0.556191,0.779517,0.016200,0.818380,0.040139,0.889913,0.991963
0.294067,0.210319,0.765363,0.253026,0.865562,0.102843,0.125955,0.979152,0.673839,0.846887
0.324329,0.676484,0.594242,0.603150,0.682532,0.575359,0.429062,0.275923,0.768581,0.226272
0.692354,0.233333,0.625330,0.747078,0.218714,0.059943,0.130974,0.605997,0.849446,0.044997
0.734151,0.341319,0.478528,0.928860,0.331972,0.465337,0.013682,0.081599,0.258592,0.027852
0.631375,0.426398,0.548145,0.174647,0.295932,0.663824,0.965303,0.050417,0.890384,0.576881
0.563920,0.500279,0.069394,0.089877,0.600912,0.340959,0.917268,0.406591,0.143281,0.714719
0.293353,0.525470,0.697833,0.900264,0.792191,0.676361,0.679633,0.945925,0.295824,0.001112
0.271955,0.217891,0.661835,0.633712,0.593461,0.016243,0.728778,0.323530,0.665056,0.556578
0.342731,0.134576,0.094419,0.831518,0.918398,0.649788,0.103434,0.402027,0.728939,0.779821
0.118219,0.000031,0.712137,0.356596,0.254481,0.012897,0.540299,0.851151,0.957632,0.565745
0.514461,0.085056,0.548873,0.379979,0.607135,0.388726,0.240299,0.094965,0.314918,0.096645
0.176897,0.987336,0.444104,0.531872,0.873619,0.995569,0.582714,0.812474,0.326941,0.305744
0.402704,0.672507,0.682192,0.315239,0.133210,0.632396,0.128326,0.578493,0.693422,0.700611
0.753472,0.872859,0.499959,0.730249,0.619173,0.186640,0.025690,0.284541,0.443034,0.617106
0.849959,0.196246,0.125550,0.963480,0.108045,0.478491,0.585564,0.541374,0.086032,0.057027
0.105483,0.585588,0.544345,0.233741,0.637774,0.820068,0.041579,0.498130,0.689310,0.252312
0.307771,0.613638,0.897935,0.809924,0.583130,0.730222,0.364822,0.640966,0.466182,0.189936
0.701738,0.556465,0.358622,0.911339,0.020934,0.315773,0.056881,0.766527,0.702107,0.331352
0.675663,0.395937,0.756254,0.454184,0.412280,0.934730,0.250879,0.120447,0.584543,0.969322
0.377839,0.062037,0.339305,0.505932,0.161923,0.658102,0.997749,0.451739,0.354729,0.400704
0.115146,0.883274,0.414826,0.387274,0.659690,0.442033,0.648233,0.061446,0.813723,0.940504
0.648765,0.954566,0.151432,0.477416,0.601807,0.581737,0.401462,0.338084,0.126824,0.391742
0.162661,0.734366,0.208831,0.058565,0.552366,0.595230,0.871913,0.576982,0.345481,0.803012
0.540279,0.079280,0.565851,0.908019,0.396313,0.296326,0.143469,0.151446,0.432771,0.595680
0.080615,0.939569,0.755134,0.586624,0.828439,0.080187,0.476839,0.630093,0.828653,0.783470
0.277069,0.940880,0.124346,0.875134,0.970940,0.177154,0.722066,0.040286,0.405423,0.516283
0.580645,0.935937,0.672251,0.481278,0.809675,0.950533,0.022066,0.982521,0.086132,0.814387
0.280335,0.132180,0.439856,0.643957,0.380952,0.054565,0.599461,0.902403,0.383215,0.216333
0.442577,0.048363,0.820488,0.826341,0.588000,0.353103,0.799783,0.554687,0.825932,0.631459
0.784405,0.598563,0.414141,0.957946,0.541114,0.605090,0.220488,0.625651,0.571608,0.184838
0.059587,0.604359,0.763692,0.523401,0.226773,0.666522,0.080106,0.441834,0.163367,0.184459
0.202294,0.386707,0.051150,0.397793,0.511707,0.483294,0.382784,0.839147,0.145327,0.505697
0.062041,0.071156,0.573866,0.566018,0.878034,0.557874,0.959791,0.048695,0.098008,0.044066
0.185277,0.541270,0.645572,0.045585,0.945971,0.842165,0.296612,0.077188,0.169887,0.126944
0.123284,0.518562,0.245847,0.358140,0.989505,0.684314,0.948981,0.142557,0.382139,0.554732
0.076758,0.004187,0.670434,0.641820,0.410789,0.489644,0.415443,0.024005,0.335372,0.177082
0.098424,0.956720,0.599360,0.728656,0.315364,0.393147,0.236924,0.096966,0.179032,0.797514
0.677546,0.546929,0.475090,0.922434,0.072735,0.280601,0.349938,0.782426,0.992515,0.240671
0.874307,0.830623,0.224657,0.399333,0.409673,0.978221,0.180892,0.799158,0.334193,0.730870
0.420011,0.578360,0.832612,0.804166,0.866423,0.059617,0.692051,0.139987,0.415819,0.548588
0.402739,0.519612,0.996526,0.135217,0.675456,0.396001,0.133010,0.158737,0.949273,0.879601
0.907042,0.991533,0.208315,0.355439,0.669219,0.483803,0.418390,0.357811,0.593781,0.575593
0.161458,0.471740,0.553472,0.570287,0.210107,0.742271,0.025199,0.354832,0.780213,0.563893
0.261162,0.694953,0.567391,0.796244,0.735025,0.610108,0.488178,0.133182,0.261333,0.419099
0.599299,0.513708,0.288185,0.006464,0.496239,0.285626,0.734608,0.023946,0.584828,0.941474
0.174409,0.471649,0.091422,0.625682,0.550532,0.407366,0.521377,0.896575,0.196294,0.022565
0.861665,0.577117,0.890658,0.596945,0.810161,0.429673,0.749860,0.913041,0.572123,0.180785
0.268798,0.198645,0.246857,0.306415,0.555134,0.587992,0.426500,0.615421,0.081575,0.087788
0.171829,0.518077,0.213995,0.283284,0.400313,0.811866,0.013862,0.649379,0.668877,0.798656
0.932753,0.020138,0.153784,0.886171,0.458519,0.564591,0.663027,0.679067,0.931740,0.996949
0.720157,0.287221,0.879752,0.049221,0.231081,0.897386,0.256192,0.220651,0.138125,0.859112
0.500058,0.674893,0.239066,0.758040,0.760006,0.312598,0.410683,0.209690,0.976561,0.645603
0.934544,0.303386,0.781891,0.765859,0.691656,0.965639,0.393555,0.130717,0.671709,0.729310
0.575061,0.206818,0.504456,0.312190,0.427467,0.645219,0.745215,0.232225,0.405325,0.269162
0.198632,0.783387,0.909253,0.370232,0.751279,0.896995,0.846124,0.182813,0.956292,0.376676
0.339241,0.062431,0.486174,0.109014,0.248540,0.316943,0.808826,0.875489,0.302466,0.858698
0.857231,0.764651,0.146695,0.690323,0.945024,0.682540,0.331617,0.500579,0.645725,0.510570
0.119953,0.312064,0.802396,0.861418,0.137300,0.952387,0.328823,0.662314,0.751825,0.811946
0.945750,0.312920,0.858506,0.131687,0.705041,0.741978,0.677723,0.252315,0.873043,0.168858
0.053635,0.717465,0.475476,0.849098,0.383397,0.168279,0.836442,0.548910,0.189196,0.720384
0.511114,0.604313,0.460898,0.828709,0.829563,0.709389,0.105401,0.838854,0.671013,0.697024
0.362983,0.879280,0.725372,0.112590,0.407778,0.886380,0.047197,0.961417,0.679163,0.631376
0.270559,0.248792,0.942058,0.298272,0.775505,0.393122,0.139254,0.010715,0.544257,0.975779
0.369136,0.357192,0.344092,0.520544,0.440665,0.879915,0.505521,0.507758,0.138372,0.982740
0.249973,0.073364,0.663146,0.595366,0.415146,0.422192,0.785064,0.195713,0.820253,0.648747
0.418970,0.458029,0.256647,0.752114,0.512875,0.320855,0.596050,0.995734,0.435262,0.920691
0.345017,0.054733,0.204242,0.418695,0.219635,0.000227,0.915002,0.843879,0.742292,0.167815
0.120364,0.067605,0.724029,0.928808,0.430536,0.119141,0.512393,0.348832,0.374825,0.621331
0.718718,0.110604,0.035590,0.994330,0.232728,0.053831,0.189875,0.038958,0.391811,0.802402
0.341244,0.444183,0.675587,0.508894,0.861446,0.866036,0.009911,0.778046,0.460734,0.988841
0.483232,0.986896,0.754569,0.248605,0.538395,0.992136,0.857531,0.097367,0.706372,0.345580
0.006982,0.403481,0.234754,0.818869,0.337331,0.827524,0.000598,0.307819,0.241165,0.233567
0.068187,0.187124,0.555550,0.291361,0.417395,0.376867,0.875905,0.905299,0.492957,0.330156
0.106801,0.953403,0.060227,0.297650,0.298066,0.320401,0.164287,0.783161,0.122498,0.634907
0.123846,0.070536,0.909430,0.190129,0.821250,0.544631,0.077857,0.955448,0.246961,0.859645
0.168810,0.853943,0.013229,0.511780,0.769443,0.934796,0.909202,0.819625,0.888191,0.199220
0.284184,0.288969,0.377054,0.393321,0.544555,0.159880,0.691247,0.167567,0.310308,0.503345
0.796441,0.739469,0.645534,0.155773,0.547045,0.087447,0.377363,0.413517,0.039811,0.273988
0.955649,0.953633,0.352327,0.043100,0.179095,0.392218,0.947780,0.141199,0.763516,0.108683
0.981258,0.381616,0.775235,0.342591,0.627669,0.192016,0.146021,0.938064,0.917647,0.887469
0.625433,0.808268,0.069037,0.334789,0.313703,0.635645,0.355958,0.148507,0.596467,0.814384
0.382123,0.132269,0.196688,0.237483,0.299898,0.642795,0.600945,0.696080,0.362502,0.823998
0.204088,0.469041,0.800939,0.180159,0.109863,0.883684,0.342930,0.683870,0.025349,0.690047
0.316101,0.055741,0.609813,0.240804,0.386807,0.080581,0.147163,0.297977,0.089760,0.910826
0.006047,0.483860,0.123247,0.307679,0.926060,0.161695,0.965832,0.205794,0.741566,0.546677
0.884479,0.553993,0.534559,0.195458,0.166229,0.916489,0.327838,0.372082,0.759824,0.338823
0.952062,0.737928,0.597429,0.880895,0.049606,0.257063,0.465036,0.226979,0.743905,0.919208
0.423770,0.342133,0.961551,0.444852,0.489048,0.351650,0.909548,0.568955,0.762175,0.811807
0.341849,0.433694,0.848472,0.363255,0.793935,0.940992,0.623210,0.741627,0.805097,0.845040
0.395053,0.051263,0.401876,0.673756,0.450350,0.748963,0.356982,0.634744,0.186420,0.749369
0.545696,0.204064,0.291911,0.748609,0.482601,0.216031,0.967271,0.715125,0.957135,0.427105
0.475100,0.897955,0.525049,0.707279,0.252173,0.446726,0.123450,0.205980,0.000943,0.039265
0.977284,0.242354,0.663311,0.839100,0.550660,0.153145,0.728116,0.600251,0.731251,0.769747
0.975410,0.573563,0.341641,0.648465,0.068441,0.897397,0.119381,0.327843,0.815745,0.597312
0.393636,0.473436,0.854547,0.340004,0.869650,0.088134,0.776798,0.847548,0.181818,0.430347
0.165500,0.706604,0.535348,0.635323,0.196487,0.211746,0.041497,0.322068,0.559745,0.857935
0.666927,0.435396,0.953120,0.719245,0.930165,0.527588,0.258904,0.052827,0.726085,0.121303
0.302775,0.532471,0.564417,0.600583,0.166255,0.379737,0.617194,0.969819,0.727631,0.922604
0.762212,0.591717,0.192023,0.666686,0.623380,0.602469,0.489786,0.528657,0.334443,0.519313
0.197556,0.805174,0.185777,0.084966,0.436246,0.658307,0.437717,0.276754,0.558171,0.347002
0.932868,0.922645,0.502372,0.327884,0.737132,0.036713,0.474769,0.336323,0.920536,0.012003
0.552815,0.740664,0.485018,0.085403,0.972461,0.518010,0.614186,0.236610,0.483498,0.429149
0.074896,0.106160,0.837473,0.239820,0.194958,0.504911,0.768747,0.061947,0.576808,0.119210
0.036461,0.052744,0.834164,0.117972,0.045151,0.437900,0.843993,0.262408,0.421713,0.039923
0.449079,0.577613,0.570907,0.332427,0.315533,0.106624,0.366798,0.099495,0.766596,0.966274
0.970074,0.865071,0.600792,0.700866,0.285206,0.630770,0.455650,0.482017,0.757777,0.281918
0.318040,0.924642,0.056224,0.485634,0.912801,0.610363,0.546407,0.249744,0.343275,0.852048
0.559218,0.514742,0.099580,0.016028,0.963685,0.376986,0.603213,0.079715,0.683114,0.932567
0.575665,0.126115,0.581722,0.766347,0.406417,0.879838,0.648683,0.899249,0.623505,0.131288
0.309692,0.201795,0.908826,0.760400,0.676398,0.300966,0.184045,0.756451,0.474158,0.225790
0.616622,0.040334,0.326170,0.468557,0.147958,0.984654,0.209097,0.130353,0.203535,0.769061
0.425506,0.565416,0.021009,0.034431,0.445826,0.816655,0.885239,0.086707,0.538363,0.913230
0.387973,0.829566,0.133696,0.935394,0.751423,0.941334,0.676617,0.363404,0.938181,0.275567
0.332173,0.700808,0.765316,0.929403,0.204802,0.797998,0.738546,0.063795,0.387223,0.282765
0.304490,0.982947,0.642777,0.717676,0.976618,0.377202,0.801840,0.434531,0.869534,0.180658
0.947686,0.218772,0.326221,0.756192,0.393755,0.608211,0.444574,0.742370,0.228331,0.058458
0.299929,0.474309,0.168020,0.354797,0.399983,0.057392,0.583307,0.884343,0.151743,0.597808
0.664739,0.419335,0.701098,0.410732,0.504637,0.007353,0.691720,0.661343,0.038401,0.368250
0.979032,0.420737,0.501945,0.909930,0.717262,0.582070,0.797805,0.864366,0.456888,0.475108
0.386051,0.966706,0.697166,0.083223,0.862960,0.480560,0.068754,0.549717,0.417164,0.877749
0.203995,0.826465,0.557689,0.054610,0.971845,0.512615,0.290877,0.469407,0.857858,0.304903
0.192676,0.129071,0.297859,0.780048,0.471626,0.227482,0.166185,0.332729,0.939924,0.343027
0.988124,0.485230,0.179164,0.891140,0.460355,0.709671,0.983712,0.050175,0.096695,0.720457
0.281825,0.184301,0.039362,0.021847,0.774486,0.134433,0.467721,0.605897,0.428352,0.027107
0.783502,0.010513,0.761890,0.893304,0.432840,0.535542,0.476983,0.389209,0.887425,0.893934
0.335816,0.615070,0.926908,0.962058,0.508959,0.452825,0.278694,0.958872,0.142814,0.579830
0.282550,0.279008,0.404969,0.998793,0.054966,0.578542,0.082572,0.154521,0.439563,0.510460
0.258792,0.316457,0.086967,0.303220,0.966558,0.944707,0.334878,0.570854,0.909595,0.006184
0.810684,0.948370,0.091326,0.161448,0.960746,0.537540,0.014197,0.257632,0.449944,0.692909
0.733160,0.995422,0.287511,0.538220,0.533324,0.405645,0.169162,0.977457,0.853317,0.498333
0.603245,0.227261,0.543787,0.694970,0.515167,0.990285,0.611342,0.370974,0.772152,0.170463
0.384516,0.346959,0.431807,0.781780,0.484173,0.794014,0.576489,0.342069,0.809979,0.238290
0.224383,0.504503,0.260849,0.009087,0.648298,0.511094,0.445518,0.966969,0.571199,0.863432
0.139450,0.569206,0.867980,0.583106,0.718014,0.372044,0.092450,0.457900,0.394479,0.867060
0.243995,0.966734,0.958138,0.247632,0.348052,0.895556,0.966622,0.443439,0.320997,0.526094
0.687769,0.273475,0.736473,0.051657,0.049294,0.386288,0.353473,0.315633,0.491020,0.320734
0.192258,0.309470,0.974904,0.411113,0.444713,0.576545,0.983341,0.241601,0.681282,0.715985
0.607324,0.088578,0.676872,0.064095,0.596143,0.739581,0.210970,0.841622,0.030354,0.843813
0.460329,0.217588,0.133778,0.953307,0.072666,0.199093,0.347822,0.620235,0.544801,0.125643
0.289728,0.238752,0.213543,0.411144,0.704031,0.217453,0.366679,0.390917,0.976457,0.954666
0.800138,0.241659,0.068037,0.316904,0.266795,0.505926,0.777728,0.858323,0.844864,0.359676
0.687234,0.312834,0.060906,0.701565,0.009828,0.409183,0.329379,0.693378,0.766245,0.304095
0.811627,0.293917,0.446326,0.727019,0.692920,0.987368,0.225161,0.662318,0.609682,0.915098
0.156362,0.751798,0.568269,0.274666,0.474435,0.333777,0.579313,0.889001,0.569305,0.631722
0.518748,0.051166,0.232859,0.492002,0.310235,0.181764,0.504133,0.322810,0.258108,0.463985
0.133284,0.927746,0.867702,0.707621,0.106214,0.775877,0.807957,0.767765,0.113966,0.643908
0.834325,0.577353,0.646407,0.458363,0.528707,0.034377,0.638963,0.081447,0.435015,0.292655
0.545428,0.133416,0.691643,0.795012,0.163354,0.104313,0.145515,0.877128,0.528189,0.467261
0.106712,0.649556,0.868000,0.828186,0.626055,0.075279,0.112397,0.049309,0.257479,0.135661
0.260048,0.385058,0.942983,0.610376,0.834974,0.710352,0.112503,0.735920,0.275099,0.639108
0.340962,0.997672,0.263551,0.279130,0.930672,0.024644,0.696689,0.725326,0.836379,0.974439
0.975602,0.065277,0.821839,0.646310,0.647342,0.128350,0.650187,0.982483,0.911819,0.439131
0.039948,0.362293,0.826390,0.701499,0.459344,0.055102,0.426895,0.469025,0.928556,0.641086
0.311653,0.525318,0.066055,0.972568,0.360060,0.477867,0.355284,0.682512,0.662232,0.715322
